DrugId|Drugname|TextSingular|TextPlural
28100474965|Synalar 0,025 % med Chinoform|påsmøring|påsmøringer
28100478565|Stesolid|tablet|tabletter
28100480965|Neulactil|tablet|tabletter
28100481265|Mylicon|dråbe|dråber
28100484765|Betnovat med Chinoform|påsmøring|påsmøringer
28100486665|Aeropax|tyggetabletter|tyggetabletter
28100486965|Egazil|tablet|tabletter
28100487965|Maxidex|dråbe|dråber
28100489065|Lacril|dråbe|dråber
28100489665|Mucomyst|ml|ml
28100493671|Kaleorid|tablet|tabletter
28100510166|Progynon|tablet|tabletter
28100515267|Betnovat|påsmøring|påsmøringer
28100520967|Imurel|tablet|tabletter
28100521967|Pacisyn|tablet|tabletter
28100526567|Tavegyl|tablet|tabletter
28100528167|Nozinan|tablet|tabletter
28100529867|Cardopax|tablet|tabletter
28100533567|Metronidazol "Actavis"|tablet|tabletter
28100535568|Rimactan|kapsel|kapsler
28100538768|Confortid|rektal stikpille|rektale stikpiller
28100539968|Sinquan|kapsel|kapsler
28100540268|Locacorten-Vioform|dråbe|dråber
28100552969|Tetralysal|kapsel|kapsler
28100559669|Ventoline|pust|pust
28100560369|Dipiperon|tablet|tabletter
28100560469|Ferro Duretter|tablet|tabletter
28100565269|Synalar|påsmøring|påsmøringer
28100565569|Flagyl|vagitorie|vagitorier
28100570370|Sandomigrin|tablet|tabletter
28100571270|Stesolid|rektal stikpille|rektale stikpiller
28100571570|Toilax|rektaltube|rektaltuber
28100571670|Toilax|tablet|tabletter
28100573870|Rimactan|kapsel|kapsler
28100575570|Orap|tablet|tabletter
28100575670|Orap|tablet|tabletter
28100579370|Temesta|tablet|tabletter
28100582070|Hirudoid|påsmøring|påsmøringer
28100582370|Ovestin|tablet|tabletter
28100583070|Apozepam|tablet|tabletter
28100583670|Haiprex|tablet|tabletter
28100583770|Brentan|påsmøring|påsmøringer
28100583870|Brentan|applikatordosis|applikatordoser
28100590071|Dalacin|kapsel|kapsler
28100591671|Primperan|rektal stikpille|rektale stikpiller
28100592071|Keflex|tablet|tabletter
28100594371|Burinex|tablet|tabletter
28100597671|Provera|tablet|tabletter
28100599271|Mydriacyl|dråbe|dråber
28100599471|Locoid|påsmøring|påsmøringer
28100599571|Locoid|påsmøring|påsmøringer
28100599671|Locoid|påsmøring|påsmøringer
28100599871|Litarex|tablet|tabletter
28100600471|Saroten Retard|kapsel|kapsler
28100600571|Ventoline|mg|mg
28100602871|Urispadol|tablet|tabletter
28100602971|Bricanyl|ml|ml
28100604472|Metosyn|påsmøring|påsmøringer
28100606772|Minirin|ml|ml
28100607472|Lioresal|tablet|tabletter
28100608472|Canesten|påsmøring|påsmøringer
28100608672|Canesten|vaginaltablet|vaginaltabletter
28100609972|Betaserc|tablet|tabletter
28100611372|Androcur|tablet|tabletter
28100612972|Mindiab|tablet|tabletter
28100615172|Diproderm|påsmøring|påsmøringer
28100615372|Ventoline|ml|ml
28100615872|Catapresan|tablet|tabletter
28100616272|Treosulfan "Medac"|kapsel|kapsler
28100616672|Serenase|tablet|tabletter
28100620972|Abboticin|tablet|tabletter
28100622372|Heracillin|tablet|tabletter
28100627873|Abboticin|ml|ml
28100631373|Flagyl|tablet|tabletter
28100631773|Nitoman|tablet|tabletter
28100632573|Dermovat|påsmøring|påsmøringer
28100632673|Dermovat|påsmøring|påsmøringer
28100634973|Mycostatin|ml|ml
28100636073|Panodil|tablet|tabletter
28100636473|Diproderm|påsmøring|påsmøringer
28100636573|Diproderm|påsmøring|påsmøringer
28100636673|Madopar "125"|kapsel|kapsler
28100636773|Madopar "250"|kapsel|kapsler
28100643374|Leponex|tablet|tabletter
28100643574|Leponex|tablet|tabletter
28100645874|Rivotril|tablet|tabletter
28100645974|Rivotril|tablet|tabletter
28100646174|Rivotril|dråbe|dråber
28100649974|Flamazine|påsmøring|påsmøringer
28100651774|Lexotan|tablet|tabletter
28100651874|Lexotan|tablet|tabletter
28100656374|Diural|tablet|tabletter
28100656474|Diural|tablet|tabletter
28100656574|Diural|tablet|tabletter
28100656774|Gaviscon|tyggetabletter|tyggetabletter
28100657174|Cyclogyl|dråbe|dråber
28100657875|Cincain "Ophtha"|stribe|striber
28100657975|Ventoline|tablet|tabletter
28100658675|Estracyt|kapsel|kapsler
28100665575|Nitrolingual|pust|pust
28100665775|Treo|brusetablet|brusetabletter
28100668975|Brufen|tablet|tabletter
28100669775|Estrofem|tablet|tabletter
28100669975|Trisekvens|tablet|tabletter
28100674375|Sinquan|kapsel|kapsler
28100676975|Nitrazepam "DAK"|tablet|tabletter
28100688875|Brentacort|påsmøring|påsmøringer
28100690776|Balancid Novum|tyggetabletter|tyggetabletter
28100690976|Tenormin|tablet|tabletter
28100691076|Tenormin|tablet|tabletter
28100693676|Ampicillin "PCD"|tablet|tabletter
28100695476|Amitriptylin "DAK"|tablet|tabletter
28100695576|Amitriptylin "DAK"|tablet|tabletter
28100695676|Amitriptylin "DAK"|tablet|tabletter
28100695776|Soluvit|mg|mg
28100698876|Diprosalic|påsmøring|påsmøringer
28100699976|Trandate|tablet|tabletter
28100700476|A-vitamin "Medic"|tablet|tabletter
28100702376|Alminox "DAK"|tyggetabletter|tyggetabletter
28100707376|Boraks "Ophtha"|øjenskylning|øjenskylninger
28100709776|Digoxin "DAK"|tablet|tabletter
28100709876|Digoxin "DAK"|tablet|tabletter
28100711576|Ergokoffin|tablet|tabletter
28100713276|Fenemal "DLF"|tablet|tabletter
28100713376|Fenemal "DLF"|tablet|tabletter
28100713476|Fenemal "DLF"|tablet|tabletter
28100713876|Fenylbutazon "OBA"|tablet|tabletter
28100714076|Fenytoin "DAK"|tablet|tabletter
28100714576|Ferroplex-frangula "ERA"|tablet|tabletter
28100715276|Folimet|tablet|tabletter
28100716376|Pectyl Brystdråber "DAK"|ml|ml
28100716476|Pectyl Stærke Brystdråber "DAK"|ml|ml
28100717276|Glyoktyl|rektaltube|rektaltuber
28100718376|Hydrokortison "DnE"|påsmøring|påsmøringer
28100718476|Hydrokortison "DnE"|påsmøring|påsmøringer
28100719276|Imipramin "DAK"|tablet|tabletter
28100719376|Imipramin "DAK"|tablet|tabletter
28100722776|Kinin "DAK"|tablet|tabletter
28100723576|Klopoxid "Takeda"|tablet|tabletter
28100723676|Klopoxid "Takeda"|tablet|tabletter
28100724176|Kloramfenikol "DAK"|dråbe|dråber
28100724276|Kloramfenikol "DAK"|stribe|striber
28100725676|Klorzoxazon "DAK"|tablet|tabletter
28100725776|Kodamid "DAK"|tablet|tabletter
28100725976|Kodein "DAK"|ml|ml
28100726076|Kodein Stærk "DAK"|ml|ml
28100726176|Kodein "DAK"|tablet|tabletter
28100726476|Kodimagnyl Ikke-stoppende "DAK"|tablet|tabletter
28100726976|Koffein-fenazon "DAK"|tablet|tabletter
28100727576|Koffisal "DAK"|tablet|tabletter
28100731076|Litiumkarbonat "OBA"|tablet|tabletter
28100732876|Menadion "Medic"|tablet|tabletter
28100734576|Metadon "DAK"|tablet|tabletter
28100739776|Nitrofurantoin "DAK"|tablet|tabletter
28100740376|Nitroglycerin "DAK"|resoriblet|resoribletter
28100740476|Nitroglycerin "DAK"|resoriblet|resoribletter
28100741176|Noskapin "DAK"|tablet|tabletter
28100742176|Papaverin "OBA"|tablet|tabletter
28100743376|Petidin "DAK"|rektal stikpille|rektale stikpiller
28100743476|Petidin "DAK"|tablet|tabletter
28100743676|Pilokarpin "Ophtha"|dråbe|dråber
28100744276|Prednisolon "DAK"|tablet|tabletter
28100744676|Prednison "DAK"|tablet|tabletter
28100744776|Primidon "ERA"|tablet|tabletter
28100744876|Probenecid "Medic"|tablet|tabletter
28100745876|Prometazin "ERA"|tablet|tabletter
28100745976|Propyltiouracil "Medic"|tablet|tabletter
28100746876|Resorcinol "Ophtha"|dråbe|dråber
28100749176|Skopolamin "Ophtha"|dråbe|dråber
28100750576|Sulfametizol "Actavis"|tablet|tabletter
28100750676|Sulfametizol "Actavis"|dråbe|dråber
28100753476|Tetracyklin "DAK"|tablet|tabletter
28100753576|Tetracyklin "DAK"|tablet|tabletter
28100758676|Øjensalve Neutral "Ophtha"|stribe|striber
28100777276|Prednisolon "DAK"|tablet|tabletter
28100787776|Microgyn|tablet|tabletter
28100789776|Metadon "DAK"|ml|ml
28100797177|Primidon "ERA"|tablet|tabletter
28100798077|Østradiol "DLF"|tablet|tabletter
28100808477|Isoniazid "OBA"|tablet|tabletter
28100810078|Glycerol "OBA"|rektal stikpille|rektale stikpiller
28100814078|Kaliumklorid "PS"|ml|ml
28100819278|Prednison "DAK"|tablet|tabletter
28100821378|Kloramfenikol Viskøse "DAK"|dråbe|dråber
28100830279|Viskøse Øjendråber "Ophtha"|dråbe|dråber
28100833780|Verucid|påsmøring|påsmøringer
28100834380|Dolodent|pensling|penslinger
28100838680|Prednisolon "DAK"|tablet|tabletter
28100902276|Primcillin|tablet|tabletter
28100902476|Primcillin|tablet|tabletter
28100902576|Primcillin|brev|breve
28100902676|Primcillin|ml|ml
28100902976|Panodil Junior|ml|ml
28100903176|Ludiomil|tablet|tabletter
28100903676|Diazepam "DAK"|tablet|tabletter
28100903776|Diazepam "DAK"|tablet|tabletter
28100905376|Delepsine|tablet|tabletter
28100907676|Panodil Brus|brusetablet|brusetabletter
28100907976|Lestid|brev|breve
28100911976|Lomustine "Medac"|kapsel|kapsler
28100913176|Selexid|tablet|tabletter
28100913877|Canesten|applikatordosis|applikatordoser
28100917477|Atamir|kapsel|kapsler
28100918177|Stesolid|rektaltube|rektaltuber
28100918277|Stesolid|rektaltube|rektaltuber
28100919477|Halcion|tablet|tabletter
28100920077|Etalpha|kapsel|kapsler
28100920477|Trimopan|tablet|tabletter
28100921977|Brentan|pudring|pudringer
28100923577|Dacriosol|dråbe|dråber
28100924177|Lomudal|dråbe|dråber
28100924377|Laxoberal|dråbe|dråber
28100925577|Duraphat|pensling|penslinger
28100925773|Ludiomil|tablet|tabletter
28100926053|Abboticin|mg|mg
28100926477|Andriol|kapsel|kapsler
28100927977|Pevisone|påsmøring|påsmøringer
28100928577|Diprosalic|påsmøring|påsmøringer
28100946749|Xylocain|påsmøring|påsmøringer
28100947049|Xylocain|påsmøring|påsmøringer
28100948277|Burinex|tablet|tabletter
28100948456|Atarax|tablet|tabletter
28100948557|Perilax|rektal stikpille|rektale stikpiller
28100950170|Apozepam|tablet|tabletter
28100950565|Stesolid|tablet|tabletter
28100950870|Stesolid|rektal stikpille|rektale stikpiller
28100954976|Trandate|tablet|tabletter
28100965264|Betnovat|påsmøring|påsmøringer
28100965364|Betnovat|påsmøring|påsmøringer
28100965465|Betnovat med Chinoform|påsmøring|påsmøringer
28100966278|Motilium|tablet|tabletter
28100966678|Motilium|rektal stikpille|rektale stikpiller
28100970678|Persantin|tablet|tabletter
28100972778|Pondocillin|tablet|tabletter
28100973378|Prioderm|vask|vaske
28100973478|Prioderm|indgnidning|indgnidninger
28100975178|Etalpha|kapsel|kapsler
28100975578|Emovat|påsmøring|påsmøringer
28100980178|Metronidazol "Actavis"|tablet|tabletter
28100980278|Metronidazol "Actavis"|rektal stikpille|rektale stikpiller
28100982178|Madopar "62,5"|kapsel|kapsler
28100983067|Anafranil|tablet|tabletter
28100983278|Imodium|ml|ml
28100985178|Atamir|kapsel|kapsler
28100988878|Karbamazepin "DAK"|tablet|tabletter
28100989878|Furix|tablet|tabletter
28100989978|Furix|tablet|tabletter
28100990562|Synalar|påsmøring|påsmøringer
28100991168|Cyklokapron|tablet|tabletter
28100991878|Orfiril|tablet|tabletter
28100991978|Orfiril|ml|ml
28100993371|Mydriacyl|dråbe|dråber
28100993478|Vermox|ml|ml
28100993578|Vermox|tablet|tabletter
28100994078|Lasix Retard|kapsel|kapsler
28100994178|Tetracyclin "Actavis"|tablet|tabletter
28100994578|Vi-siblin|måleske|måleskeer
28100994978|Emperal|tablet|tabletter
28100996278|Spirix|tablet|tabletter
28100996855|Lucosil|tablet|tabletter
28100999578|Novaluzid|tyggetabletter|tyggetabletter
28101000672|Lioresal|tablet|tabletter
28101000865|Neulactil|tablet|tabletter
28101001578|Lomudal|kapsel|kapsler
28101003178|Prothiaden|kapsel|kapsler
28101003278|Prothiaden|tablet|tabletter
28101003665|Risolid|tablet|tabletter
28101003765|Risolid|tablet|tabletter
28101004478|Theo-dur|tablet|tabletter
28101004578|Theo-dur|tablet|tabletter
28101005764|Marevan|tablet|tabletter
28101006679|Eltroxin|tablet|tabletter
28101009755|Phenergan|tablet|tabletter
28101010979|Voltaren|tablet|tabletter
28101011571|Saroten Retard|kapsel|kapsler
28101011661|Saroten|tablet|tabletter
28101011862|Streptase|IE|IE
28101012255|Ketogan|rektal stikpille|rektale stikpiller
28101012355|Ketogan|tablet|tabletter
28101013060|Vilan|rektal stikpille|rektale stikpiller
28101013160|Vilan|tablet|tabletter
28101013660|Nozinan|tablet|tabletter
28101014279|Brentan|pensling|penslinger
28101019455|Mestinon|tablet|tabletter
28101021061|Proctosedyl|rektal stikpille|rektale stikpiller
28101022079|Trimopan|ml|ml
28101026279|Nuelin Retard|tablet|tabletter
28101027479|Tenoretic|tablet|tabletter
28101028579|Visken|tablet|tabletter
28101029379|Delepsine|tablet|tabletter
28101029479|Delepsine|tablet|tabletter
28101029579|Delepsine|tablet|tabletter
28101030479|Triquilar|tablet|tabletter
28101032579|Pronoctan|tablet|tabletter
28101032979|Delepsine|ml|ml
28101033279|Bromhexin "DAK"|ml|ml
28101034279|Brentan|vaginalkapsel|vaginalkapsler
28101034579|Colifoam|applikatordosis|applikatordoser
28101036079|Dermovat|påsmøring|påsmøringer
28101037879|Essex|påsmøring|påsmøringer
28101038079|Instillagel|påsmøring|påsmøringer
28101040380|Tafil|tablet|tabletter
28101040480|Tafil|tablet|tabletter
28101040580|Tafil|tablet|tabletter
28101041280|Panodil Junior|rektal stikpille|rektale stikpiller
28101045080|Tegretol|tablet|tabletter
28101048680|Bromhexin "DAK"|tablet|tabletter
28101053180|Zinacef|mg|mg
28101055580|Bricanyl Retard|tablet|tabletter
28101055780|Nuelin Retard|tablet|tabletter
28101055980|Marvelon|tablet|tabletter
28101058280|Allopurinol "DAK"|tablet|tabletter
28101058380|Allopurinol "DAK"|tablet|tabletter
28101060381|Bricanyl|mg|mg
28101060981|Ibumetin|tablet|tabletter
28101061081|Ibumetin|tablet|tabletter
28101061181|Ibumetin|tablet|tabletter
28101061781|Ovestin|applikatordosis|applikatordoser
28101061881|Neribase|påsmøring|påsmøringer
28101062281|Ibuprofen "Actavis"|tablet|tabletter
28101063581|Orfiril|tablet|tabletter
28101063881|Hexokain|sugetablet|sugetabletter
28101064081|Nicorette Classic|tyggegummi|tyggegummier
28101064181|Nicorette Classic|tyggegummi|tyggegummier
28101065581|Delepsine|ml|ml
28101065881|Temgesic|resoriblet|resoribletter
28101066181|Voltaren Retard|tablet|tabletter
28101066381|Ventoline|mg|mg
28101066981|Frisium|tablet|tabletter
28101067781|Veraloc|tablet|tabletter
28101067881|Veraloc|tablet|tabletter
28101068581|Cisordinol|dråbe|dråber
28101068881|Cisordinol|tablet|tabletter
28101068981|Cisordinol|tablet|tabletter
28101069481|Brentan|vaginalkapsel|vaginalkapsler
28101072581|Zantac|tablet|tabletter
28101073581|Capiven|tablet|tabletter
28101073681|Fucidin|påsmøring|påsmøringer
28101080181|Contalgin|tablet|tabletter
28101080281|Mucomyst|brusetablet|brusetabletter
28101081381|Atenativ|pulver+solvens|pulver+solvens
28101082281|Gaviscon|ml|ml
28101082981|Pinex Junior|ml|ml
28101084381|Canesten|vaginaltablet|vaginaltabletter
28101084681|Spirix|tablet|tabletter
28101088281|Brufen|tablet|tabletter
28101095182|Venoruton|kapsel|kapsler
28101095482|Bricanyl Retard|tablet|tabletter
28101096082|Flagyl|ml|ml
28101096682|Pregnyl|pulver+solvens|pulver+solvens
28101100082|Locoid Lipid|påsmøring|påsmøringer
28101100182|Propranolol "DAK"|tablet|tabletter
28101100282|Propranolol "DAK"|tablet|tabletter
28101100382|Propranolol "DAK"|tablet|tabletter
28101100782|Diprolen|påsmøring|påsmøringer
28101102182|Contalgin|tablet|tabletter
28101102482|Glucobay|tablet|tabletter
28101103282|Dalacin|påsmøring|påsmøringer
28101107082|Rytmonorm|tablet|tabletter
28101107182|Rytmonorm|tablet|tabletter
28101107682|Betolvex|tablet|tabletter
28101115082|Ibuprofen "Actavis"|tablet|tabletter
28101116082|Scopoderm|plaster|plastre
28101120682|Sinemet 25/100|tablet|tabletter
28101121482|Halcion|tablet|tabletter
28101121682|Sibelium|tablet|tabletter
28101122082|Condyline|pensling|penslinger
28101124183|Sirdalud|tablet|tabletter
28101124283|Sirdalud|tablet|tabletter
28101129383|Anafranil Retard|tablet|tabletter
28101131083|Tegretol|ml|ml
28101131883|Veraloc|tablet|tabletter
28101133083|Antabus|brusetablet|brusetabletter
28101136383|Madopar "250"|tablet|tabletter
28101136683|Dexofan|ml|ml
28101137283|Imacillin|ml|ml
28101137583|Beconase|pust|pust
28101139683|Tambocor|tablet|tabletter
28101139883|Vastarel|tablet|tabletter
28101140683|Noritren|tablet|tabletter
28101143283|Eldepryl|tablet|tabletter
28101145783|Adalat|tablet|tabletter
28101145883|Lopid|kapsel|kapsler
28101146083|Zantac|mg|mg
28101162183|Morfin "DAK"|tablet|tabletter
28101162283|Metadon "DAK"|tablet|tabletter
28101164083|Unixan|tablet|tabletter
28101164183|Contalgin|tablet|tabletter
28101167883|Antepsin|tablet|tabletter
28101169483|Emla|påsmøring|påsmøringer
28101169983|Ovestin|vagitorie|vagitorier
28101170383|Clotrason|påsmøring|påsmøringer
28101171883|Pentasa|plastflaske|plastflasker
28101171983|Veraloc Retard|tablet|tabletter
28101173183|Delepsine|rektal stikpille|rektale stikpiller
28101173483|Nizoral|påsmøring|påsmøringer
28101176884|Kliogest|tablet|tabletter
28101177684|Cordarone|tablet|tabletter
28101178884|Provera|tablet|tabletter
28101180484|Zymelin|dråbe|dråber
28101181584|Isoptin Retard|tablet|tabletter
28101181884|Nimotop|tablet|tabletter
28101183784|Creon 10.000|kapsel|kapsler
28101183984|Imovane|tablet|tabletter
28101184184|Cardopax Retard|tablet|tabletter
28101185584|Sparkal|tablet|tabletter
28101185684|Sparkal Mite|tablet|tabletter
28101186784|Pacisyn|tablet|tabletter
28101187584|Primcillin|tablet|tabletter
28101187684|Hexaglucon|tablet|tabletter
28101187784|Hexaglucon|tablet|tabletter
28101188584|Hexapindol|tablet|tabletter
28101188684|Hexapindol|tablet|tabletter
28101188784|Hexapindol|tablet|tabletter
28101191384|Salazopyrin Entabs|tablet|tabletter
28101192884|Optimol|dråbe|dråber
28101195184|Pergotime|tablet|tabletter
28101195484|Pinex|brusetablet|brusetabletter
28101195584|Tenoretic Mite|tablet|tabletter
28101196884|Amilco|tablet|tabletter
28101197084|Gastro-Timelets|kapsel|kapsler
28101197884|Cytotec|tablet|tabletter
28101199184|Spirix|tablet|tabletter
28101199484|Trimonil Retard|tablet|tabletter
28101202184|Alopam|tablet|tabletter
28101202284|Alopam|tablet|tabletter
28101203184|Hexalid|tablet|tabletter
28101203284|Hexalid|tablet|tabletter
28101203484|Hexalacton|tablet|tabletter
28101203684|Hexalacton|tablet|tabletter
28101204284|Kodipar|tablet|tabletter
28101205785|Imdur|tablet|tabletter
28101207185|Baypress|tablet|tabletter
28101207285|Diprolen|påsmøring|påsmøringer
28101207685|Vancocin|kapsel|kapsler
28101208085|Etalpha|dråbe|dråber
28101208285|Sinalfa|tablet|tabletter
28101208785|Metronidazol "DAK"|tablet|tabletter
28101210985|Mercilon|tablet|tabletter
28101211385|Betoptic|dråbe|dråber
28101211585|Minprostin|vagitorie|vagitorier
28101212585|Fucithalmic|dråbe|dråber
28101213685|Livial|tablet|tabletter
28101214185|Oxabenz|tablet|tabletter
28101218285|Unixan|tablet|tabletter
28101218785|Oxapax|tablet|tabletter
28101218885|Brentacort|påsmøring|påsmøringer
28101219085|Vepesid|kapsel|kapsler
28101219585|Cardil|tablet|tabletter
28101219685|Cardil|tablet|tabletter
28101219985|Doloproct|påsmøring|påsmøringer
28101220085|Doloproct|rektal stikpille|rektale stikpiller
28101220385|Granon|brusetablet|brusetabletter
28101222785|Trimonil Retard|tablet|tabletter
28101225585|Spektramox|ml|ml
28101226485|Selo-zok|tablet|tabletter
28101226585|Selo-zok|tablet|tabletter
28101228685|Adalat|tablet|tabletter
28101229085|Fucicort|påsmøring|påsmøringer
28101229485|Dexofan|ml|ml
28101229585|Dexofan|tablet|tabletter
28101229985|Minirin|pust|pust
28101230985|Atrovent|mg|mg
28101233785|Felden|påsmøring|påsmøringer
28101234485|Cardizem Retard|tablet|tabletter
28101250185|Tilcotil|tablet|tabletter
28101253286|Andolex|ml|ml
28101255986|Tamoxifen "Mylan"|tablet|tabletter
28101257386|Tegretol Retard|tablet|tabletter
28101257486|Tegretol Retard|tablet|tabletter
28101258286|Clarityn|tablet|tabletter
28101259986|Hexasoptin Retard|kapsel|kapsler
28101260086|Hexasoptin Retard|kapsel|kapsler
28101260386|Betaserc|tablet|tabletter
28101261486|Zoladex|implantat|implantater
28101261586|Surgamyl|tablet|tabletter
28101262786|Sinalfa|tablet|tabletter
28101263186|Vivotif|kapsel|kapsler
28101263286|Mucolysin|brusetablet|brusetabletter
28101263886|Flurolon|dråbe|dråber
28101265486|Selo-zok|tablet|tabletter
28101267686|Humulin NPH|IE|IE
28101267786|Humulin Regular|IE|IE
28101270586|Cilest|tablet|tabletter
28101271286|Bonyl|tablet|tabletter
28101271386|Bonyl|tablet|tabletter
28101271486|Bonyl|rektal stikpille|rektale stikpiller
28101273586|Diclon|rektal stikpille|rektale stikpiller
28101275086|Furix|tablet|tabletter
28101278686|Baklofen "Mylan"|tablet|tabletter
28101278786|Baklofen "Mylan"|tablet|tabletter
28101280586|Olbetam|kapsel|kapsler
28101282986|Bricanyl Turbuhaler|sug|sug
28101286986|Abboticin Novum|tablet|tabletter
28101287386|Dipentum|kapsel|kapsler
28101288386|Uniloc|tablet|tabletter
28101291087|Hexabotin|tablet|tabletter
28101291187|Hexabotin|tablet|tabletter
28101292087|Propal Retard|kapsel|kapsler
28101292187|Minulet|tablet|tabletter
28101293487|Antepsin|ml|ml
28101295187|Fragmin|IE|IE
28101295287|Fragmin|IE|IE
28101297087|Sinemet 12,5/50|tablet|tabletter
28101298087|Milvane|tablet|tabletter
28101299487|Mesasal|tablet|tabletter
28101299687|Mesasal|rektal stikpille|rektale stikpiller
28101299987|Plendil|tablet|tabletter
28101300087|Plendil|tablet|tabletter
28101301487|Asacol|tablet|tabletter
28101301587|Hexanurat|tablet|tabletter
28101301687|Hexanurat|tablet|tabletter
28101301887|Ovestin|tablet|tabletter
28101302887|Surlid|tablet|tabletter
28101304887|Vagifem|vaginaltablet|vaginaltabletter
28101305187|Pirom|tablet|tabletter
28101305287|Pirom|tablet|tabletter
28101306387|Myonil|tablet|tabletter
28101306687|Streptase|IE|IE
28101307687|Frusamil|tablet|tabletter
28101307887|Zinnat|tablet|tabletter
28101307987|Zinnat|tablet|tabletter
28101308287|Zyrtec|tablet|tabletter
28101308487|Cordarone|tablet|tabletter
28101308787|Madopar Depot|kapsel|kapsler
28101308887|Emthexate|tablet|tabletter
28101312487|Neotigason|kapsel|kapsler
28101312587|Neotigason|kapsel|kapsler
28101314487|Pamol|brusetablet|brusetabletter
28101314887|Deprakine Retard|tablet|tabletter
28101315187|Lioresal|ml|ml
28101315887|Mildison Lipid|påsmøring|påsmøringer
28101316587|Skinoren|påsmøring|påsmøringer
28101316787|Elocon|påsmøring|påsmøringer
28101316887|Elocon|påsmøring|påsmøringer
28101317387|Pamol|ml|ml
28101317487|Pamol|tablet|tabletter
28101317587|Pamol|tablet|tabletter
28101317687|Pamol|rektal stikpille|rektale stikpiller
28101317887|Pamol|rektal stikpille|rektale stikpiller
28101319887|Stilnoct|tablet|tabletter
28101320287|Emconcor|tablet|tabletter
28101320387|Emconcor|tablet|tabletter
28101320687|Ibumetin Retard|tablet|tabletter
28101321787|Dapson "Scanpharm"|tablet|tabletter
28101322288|Bonyl|ml|ml
28101323088|Deprakine Retard|tablet|tabletter
28101323488|Sirdalud Retard|kapsel|kapsler
28101323588|Sirdalud Retard|kapsel|kapsler
28101324888|Cipramil|tablet|tabletter
28101324988|Cipramil|tablet|tabletter
28101325088|Cipramil|tablet|tabletter
28101327388|Zok-Zid|tablet|tabletter
28101328488|Atenolol "Orifarm"|tablet|tabletter
28101329088|Airomir Autohaler|pust|pust
28101331488|Zocor|tablet|tabletter
28101332288|Dalacin|påsmøring|påsmøringer
28101332488|Sinemet Depot|tablet|tabletter
28101333488|Norvasc|tablet|tabletter
28101333588|Norvasc|tablet|tabletter
28101333788|Nizoral|vask|vaske
28101333888|Lariam|tablet|tabletter
28101334988|Tenidon|tablet|tabletter
28101335088|Tenidon Mite|tablet|tabletter
