DrugID|Navn|Ental|Flertal
28105041012|Fluticasonpropionat "2care4"|pust|pust
28103118399|SonoVue|ml|ml
28105255013|Entyvio|ml|ml
28104656410|Questran|brev|breve
28104675110|Rizatriptan "Mylan"|tablet|tabletter
28105052112|Ondansetron "2care4"|tablet|tabletter
28101299687|Mesasal|rektal stikpille|rektale stikpiller
28101328688|Atenolol "Orifarm"|tablet|tabletter
28104402908|Sildenafil "Sandoz"|tablet|tabletter
28104403008|Sildenafil "Sandoz"|tablet|tabletter
28104403208|Sildenafil "Sandoz"|tablet|tabletter
28105246513|Cabergolin "2care4"|tablet|tabletter
28100420262|Florinef|tablet|tabletter
28101426191|Orap|tablet|tabletter
28101440691|Corodil|tablet|tabletter
28101440791|Corodil|tablet|tabletter
28103722204|Lamotrigin "1A Farma"|tablet|tabletter
28103871105|Lamotrigin "Teva"|tablet|tabletter
28104221707|Lamotrigin "Aurobindo"|tablet|tabletter
28104221807|Lamotrigin "Aurobindo"|tablet|tabletter
28104226807|Pramipexol "Stada"|tablet|tabletter
28104385408|Enalapril "Vitabalans"|tablet|tabletter
28104425608|Ramipril "Aurobindo"|tablet|tabletter
28104691210|Ikorel|tablet|tabletter
28104996011|Betahistindihydrochl."2care4"|tablet|tabletter
28104508509|Montelukast "Stada"|tyggetablet|tyggetabletter
28101689794|Amoxicillin "Mylan"|tablet|tabletter
28101806996|Fluoxetin "Mylan"|kapsel|kapsler
28103012798|Buspiron "Actavis"|tablet|tabletter
28103083799|Lisinopril "Mylan"|tablet|tabletter
28103083899|Lisinopril "Mylan"|tablet|tabletter
28103083999|Lisinopril "Mylan"|tablet|tabletter
28103106499|Diclon|tablet|tabletter
28103147400|Isotretinoin "Teva"|kapsel|kapsler
28103165300|Loratadin "Teva"|tablet|tabletter
28103240101|Lisinopril "Actavis"|tablet|tabletter
28103309601|Ciprofloxacin "HEXAL"|tablet|tabletter
28103382002|Gabamed|kapsel|kapsler
28103431102|Citalopram "Mylan"|tablet|tabletter
28103431202|Citalopram "Mylan"|tablet|tabletter
28103431402|Gestilla|tablet|tabletter
28103431502|Dorinette|tablet|tabletter
28103448002|Zolpidem "Mylan"|tablet|tabletter
28103470803|Lafunomyl|tablet|tabletter
28103493203|Isotretinoin "Orion"|kapsel|kapsler
28103493303|Isotretinoin "Orion"|kapsel|kapsler
28103553303|Citalopram "Mylan"|tablet|tabletter
28103553403|Citalopram "Mylan"|tablet|tabletter
28103595803|Pulmicort Turbuhaler|sug|sug
28103674604|Edronax|tablet|tabletter
28103691504|Fucidin|påsmøring|påsmøringer
28103750004|Rhinocort aqua|pust|pust
28103753004|Marilamed|tablet|tabletter
28103795005|Kreon 25.000|kapsel|kapsler
28103805505|Furosemid "HEXAL"|tablet|tabletter
28103842805|Lansoprazol "Teva"|kapsel|kapsler
28103842905|Lansoprazol "Teva"|kapsel|kapsler
28103848705|Lamotrigin "Mylan"|tablet|tabletter
28103848805|Lamotrigin "Mylan"|tablet|tabletter
28103887806|Bicalutamid "Sandoz"|tablet|tabletter
28103906106|Losartan "Medical Valley"|tablet|tabletter
28103906206|Losartan "Medical Valley"|tablet|tabletter
28103906306|Losartan "Medical Valley"|tablet|tabletter
28103906906|Myrlosar|tablet|tabletter
28103912406|Miktosan|kapsel|kapsler
28104021206|Topiramat "Hexal"|tablet|tabletter
28104023806|Olanzapin "Sandoz"|tablet|tabletter
28104024006|Olanzapin "Sandoz"|tablet|tabletter
28104027506|Fucithalmic|dråbe|dråber
28104033606|Zalasta|tablet|tabletter
28104035206|Myrlosar Comp|tablet|tabletter
28104035306|Myrlosar Comp|tablet|tabletter
28104049106|Pantoprazol "Stada"|tablet|tabletter
28104049206|Pantoprazol "Stada"|tablet|tabletter
28104059606|Lamotrigin "BMM Pharma"|tablet|tabletter
28104070707|Olanzapine "Teva"|tablet|tabletter
28104070907|Olanzapine "Teva"|tablet|tabletter
28104071007|Olanzapine "Teva"|tablet|tabletter
28104071107|Olanzapine "Teva"|tablet|tabletter
28104131107|Valaciclovir "Mylan"|tablet|tabletter
28104185707|Losartankalium "Amneal"|tablet|tabletter
28104224207|Mirtazapin "Bluefish"|tablet|tabletter
28104224307|Mirtazapin "Bluefish"|tablet|tabletter
28104227507|Avodart|kapsel|kapsler
28104272008|Venlafaxin "Actavis"|kapsel|kapsler
28104272108|Venlafaxin "Actavis"|kapsel|kapsler
28104277908|Bicalutamid "Sandoz"|tablet|tabletter
28104289408|Glepark|tablet|tabletter
28104289508|Glepark|tablet|tabletter
28104301408|Escitalopram "STADA"|tablet|tabletter
28104301608|Escitalopram "STADA"|tablet|tabletter
28104350608|Rivastigmin "Stada"|kapsel|kapsler
28104350808|Rivastigmin "Stada"|kapsel|kapsler
28104352508|Metformin "Orifarm"|tablet|tabletter
28104401308|Ondansetron "Amneal"|tablet|tabletter
28104401408|Ondansetron "Amneal"|tablet|tabletter
28104402508|Clopidogrel "Amneal"|tablet|tabletter
28104408208|Valaciclovir "Amneal"|tablet|tabletter
28104463209|Lamivudine "Teva Pharma BV"|tablet|tabletter
28104478609|Montelukast "Mylan"|tablet|tabletter
28104480809|Temozolomide "Accord"|kapsel|kapsler
28104480909|Temozolomide "Accord"|kapsel|kapsler
28104481009|Temozolomide "Accord"|kapsel|kapsler
28104481109|Temozolomide "Accord"|kapsel|kapsler
28104481209|Temozolomide "Accord"|kapsel|kapsler
28104520409|Paroxetin "Amneal"|tablet|tabletter
28104549209|Zoladex|implantat|implantater
28104552309|Taflotan|dråbe|dråber
28104572309|Mycophenolatmofetil "Stada"|kapsel|kapsler
28104609709|Lamotrigin "Amneal"|tablet|tabletter
28104609909|Lamotrigin "Amneal"|tablet|tabletter
28104619209|Irbesartan/hydrochlorthiazid "Stada"|tablet|tabletter
28104619309|Irbesartan/hydrochlorthiazid "Stada"|tablet|tabletter
28104619409|Irbesartan/hydrochlorthiazid "Stada"|tablet|tabletter
28104641510|Remifentanil "B. Braun"|mikrogram|mikrogram
28104641610|Remifentanil "B. Braun"|mikrogram|mikrogram
28104641710|Remifentanil "B. Braun"|mikrogram|mikrogram
28104670510|Sumatriptan "Amneal"|tablet|tabletter
28104670610|Sumatriptan "Amneal"|tablet|tabletter
28104675910|Losartankalium/hydrochlorthiazid "Amneal"|tablet|tabletter
28104685710|Crestor|tablet|tabletter
28104689010|Penomax|tablet|tabletter
28104699110|Olanzapin "Sandoz"|tablet|tabletter
28104699210|Olanzapin "Sandoz"|tablet|tabletter
28104699310|Olanzapin "Sandoz"|tablet|tabletter
28104699410|Olanzapin "Sandoz"|tablet|tabletter
28104702510|Escitalopram "Amneal"|tablet|tabletter
28104702610|Escitalopram "Amneal"|tablet|tabletter
28104702710|Escitalopram "Amneal"|tablet|tabletter
28104702810|Escitalopram "Amneal"|tablet|tabletter
28104709210|Colobreathe|inhalationskapsel|inhalationskapsler
28104713110|Elidel|påsmøring|påsmøringer
28104718710|Sevelamer "Sandoz"|tablet|tabletter
28104720210|Stromolol|tablet|tabletter
28104768510|Levetiracetam "Amneal"|tablet|tabletter
28104770010|Levetiracetam "Orion"|tablet|tabletter
28104770310|Atimos|pust|pust
28104786210|Levetiracetam "Amneal"|ml|ml
28104846611|Crestor|tablet|tabletter
28104879211|Fungizone|mg|mg
28104883511|Temozolomid "Fair-Med"|kapsel|kapsler
28104883611|Temozolomid "Fair-Med"|kapsel|kapsler
28104883711|Temozolomid "Fair-Med"|kapsel|kapsler
28104883811|Temozolomid "Fair-Med"|kapsel|kapsler
28104883911|Temozolomid "Fair-Med"|kapsel|kapsler
28104884011|Temozolomid "Fair-Med"|kapsel|kapsler
28104909611|Ziprasidone "Sandoz"|kapsel|kapsler
28104909711|Ziprasidone "Sandoz"|kapsel|kapsler
28104909811|Ziprasidone "Sandoz"|kapsel|kapsler
28104926011|Botox|enhed|enheder
28104979411|Methotrexat "2care4"|tablet|tabletter
28104988311|Rivastigmin "2care4"|kapsel|kapsler
28105019812|Cetirizin "Teva"|tablet|tabletter
28105037912|Esomeprazol "Orifarm"|tablet|tabletter
28105044612|Pinemol|tablet|tabletter
28105044712|Pinemol|tablet|tabletter
28105049212|Nexplanon|implantat|implantater
28105051612|Innovair|pust|pust
28105058812|Rispolept Consta|injektionssprøjte|injektionssprøjter
28105069212|Finasterid "Orifarm"|tablet|tabletter
28105093412|Tranexamsyre "Paranova"|ml|ml
28105093612|Brinzolamid "Stada"|dråbe|dråber
28105123912|Lansopram|kapsel|kapsler
28105124012|Lansopram|kapsel|kapsler
28105142712|Budesonide "Teva Pharma"|ampul|ampuller
28105148812|Orionox|tablet|tabletter
28105148912|Orionox|tablet|tabletter
28105149112|Orionox|tablet|tabletter
28105149312|Orionox|tablet|tabletter
28105149512|Orionox|tablet|tabletter
28105153912|Losartankalium/hydrochlorthiazid "Aurobindo"|tablet|tabletter
28105154012|Losartankalium/hydrochlorthiazid "Aurobindo"|tablet|tabletter
28105154112|Losartankalium/hydrochlorthiazid "Aurobindo"|tablet|tabletter
28105169112|Oxcarbazepin "Jubilant"|tablet|tabletter
28105169212|Oxcarbazepin "Jubilant"|tablet|tabletter
28105176712|Memantin "Accord"|tablet|tabletter
28105214613|Imigran|dosis|doser
28105216513|Antabus|brusetablet|brusetabletter
28105216613|Tramadol Retard "2care4"|tablet|tabletter
28105217213|Brinzolamide "Sandoz"|dråbe|dråber
28105237413|Mometasone "Actavis"|pust|pust
28105239613|Methylphenidate "Mylan"|tablet|tabletter
28105239713|Methylphenidate "Mylan"|tablet|tabletter
28105239813|Methylphenidate "Mylan"|tablet|tabletter
28105242013|Mometasonfuroat "Cipla"|pust|pust
28105252313|Zolpidem "2care4"|tablet|tabletter
28105253513|Zolpidem "Aurobindo"|tablet|tabletter
28105253613|Zolpidem "Aurobindo"|tablet|tabletter
28105257213|Feiba|enhed|enheder
28105259813|Kenalog|ml|ml
28105267613|Biquetan|tablet|tabletter
28105267713|Biquetan|tablet|tabletter
28105267813|Biquetan|tablet|tabletter
28105267913|Biquetan|tablet|tabletter
28105268013|Biquetan|tablet|tabletter
28105270013|Fucidin|tablet|tabletter
28105275413|Linezolid "Sandoz"|tablet|tabletter
28105276313|Efavirenz "Aurobindo"|tablet|tabletter
28105282813|Marcain Heavy|ml|ml
28105283013|Xylocain|ml|ml
28105285013|Riluzol "2care4"|tablet|tabletter
28105287213|Triregol|tablet|tabletter
28105293913|Enalapril "Orion"|tablet|tabletter
28105294013|Enalapril "Orion"|tablet|tabletter
28105294113|Enalapril "Orion"|tablet|tabletter
28105294313|Enalapril/Hydrochlorothiazide "Orion"|tablet|tabletter
28105300413|Incruse|sug|sug
28105304813|Dicloxacillin "Alternova"|kapsel|kapsler
28105304913|Dicloxacillin "Alternova"|kapsel|kapsler
28105307713|Linezolid "Teva"|tablet|tabletter
28105318613|Vinelle|tablet|tabletter
28105319713|Synagis|ml|ml
28105320413|Suprefact|ml|ml
28105321513|Fusidinsyre/betamethasonvalerat "Mylan"|påsmøring|påsmøringer
28105325713|Invicorp|ampul|ampuller
28105327413|Antabus|brusetablet|brusetabletter
28105334813|Amlodistad|tablet|tabletter
28105334913|Amlodistad|tablet|tabletter
28105346313|Alendronat "Aurobindo"|tablet|tabletter
28105348613|Pevisone|påsmøring|påsmøringer
28105350614|Rizatriptan "Aurobindo"|tablet|tabletter
28105359413|Fexofenadin "Cipla"|tablet|tabletter
28105362514|Apydan|tablet|tabletter
28105363013|Buprenorphine "Sandoz"|plaster|plastre
28105363113|Buprenorphine "Sandoz"|plaster|plastre
28105363213|Buprenorphine "Sandoz"|plaster|plastre
28105363313|Buprenorphine "Sandoz"|plaster|plastre
28105366814|Phenoxymethylpenicillinkalium "EQL Pharma"|tablet|tabletter
28105369014|Dolmatil|tablet|tabletter
28105369414|Budesonid "Orifarm"|dosis|doser
28105369614|OsvaRen|tablet|tabletter
28105371514|Pramipexol "Aurobindo"|tablet|tabletter
28105371614|Pramipexol "Aurobindo"|tablet|tabletter
28105371714|Pramipexol "Aurobindo"|tablet|tabletter
28105371814|Pramipexol "Aurobindo"|tablet|tabletter
28105379514|Aduvanz|kapsel|kapsler
28105379614|Aduvanz|kapsel|kapsler
28105379714|Aduvanz|kapsel|kapsler
28105381414|Ovestin|applikatordosis|applikatordoser
28105384514|Nebido|ampul|ampuller
28105398314|Viscotears|dråbe|dråber
28105400114|Oxycodone "Teva"|kapsel|kapsler
28105400214|Oxycodone "Teva"|kapsel|kapsler
28105400314|Oxycodone "Teva"|kapsel|kapsler
28105407314|Linezolid "Accord"|tablet|tabletter
28105407714|Losartan "Aurobindo"|tablet|tabletter
28105409314|Propranolol Retard "Copharma"|kapsel|kapsler
28105415514|Imigran|dosis|doser
28105416114|Furosemid "Orifarm"|tablet|tabletter
28105420414|Lemilvo|tablet|tabletter
28105420514|Lemilvo|tablet|tabletter
28105420614|Lemilvo|tablet|tabletter
28105424914|Giona Easyhaler|sug|sug
28105428214|Spiolto Respimat|pust|pust
28105433514|Aripiprazol "Stada"|tablet|tabletter
28105433614|Aripiprazol "Stada"|tablet|tabletter
28105433714|Aripiprazol "Stada"|tablet|tabletter
28105433814|Aripiprazol "Stada"|tablet|tabletter
28105434414|Aripiprazol "Stada"|tablet|tabletter
28105434514|Aripiprazol "Stada"|tablet|tabletter
28105438614|Aripiprazole "Medical Valley"|tablet|tabletter
28105438714|Aripiprazole "Medical Valley"|tablet|tabletter
28105438814|Aripiprazole "Medical Valley"|tablet|tabletter
28105438914|Aripiprazole "Medical Valley"|tablet|tabletter
28105439913|Malonetta|tablet|tabletter
28105440914|Mometason "Evolan"|pust|pust
28105451414|Delamonie|tablet|tabletter
28105451514|Brieka|kapsel|kapsler
28105451714|Brieka|kapsel|kapsler
28105451914|Brieka|kapsel|kapsler
28105452114|Brieka|kapsel|kapsler
28105452214|Brieka|kapsel|kapsler
28105452914|Pregabalin "STADA"|kapsel|kapsler
28105453114|Pregabalin "STADA"|kapsel|kapsler
28105453314|Pregabalin "STADA"|kapsel|kapsler
28105453514|Pregabalin "STADA"|kapsel|kapsler
28105453614|Pregabalin "STADA"|kapsel|kapsler
28105456214|Eletriptan "Alternova"|tablet|tabletter
28105457614|Estrofem mite|tablet|tabletter
28105457914|Lixacol|tablet|tabletter
28105464314|Medikinet CR|kapsel|kapsler
28105464414|Medikinet CR|kapsel|kapsler
28105465514|Duloxetin "Pensa"|kapsel|kapsler
28105465614|Duloxetin "Pensa"|kapsel|kapsler
28105466214|Loxentia|kapsel|kapsler
28105466314|Loxentia|kapsel|kapsler
28105466914|Duloxetine "Orion"|kapsel|kapsler
28105467014|Duloxetine "Orion"|kapsel|kapsler
28105467514|Giona Easyhaler|sug|sug
28105468314|Duloxetine "Teva"|kapsel|kapsler
28105468414|Duloxetine "Teva"|kapsel|kapsler
28105468514|Betolvex|tablet|tabletter
28105469114|Duloxetin "Stada"|kapsel|kapsler
28105469214|Duloxetin "Stada"|kapsel|kapsler
28105471714|Aripiprazole "Sandoz"|tablet|tabletter
28105471814|Aripiprazole "Sandoz"|tablet|tabletter
28105471914|Aripiprazole "Sandoz"|tablet|tabletter
28105472114|Aripiprazole "Sandoz"|tablet|tabletter
28105472814|Duloxetin "Stada"|kapsel|kapsler
28105472914|Duloxetin "Stada"|kapsel|kapsler
28105473414|Lercanidipinhydrochlorid "2care4"|tablet|tabletter
28105473714|Equasym Depot|kapsel|kapsler
28105473814|Equasym Depot|kapsel|kapsler
28105475914|Epiduo|påsmøring|påsmøringer
28105478114|Giona Easyhaler|sug|sug
28105482114|Isoptin Retard|tablet|tabletter
28105485914|Madopar|kapsel|kapsler
28105491014|Differin|påsmøring|påsmøringer
28105491414|Serdolect|tablet|tabletter
28105491814|Normix|tablet|tabletter
28105492414|Methylphenidat "Alternova"|tablet|tabletter
28105492514|Methylphenidat "Alternova"|tablet|tabletter
28105492614|Methylphenidat "Alternova"|tablet|tabletter
28105497314|Locoid Lipid|påsmøring|påsmøringer
28105498113|Fragmin|injektionssprøjte|injektionssprøjter
28105498313|Fragmin|injektionssprøjte|injektionssprøjter
28105498513|Fragmin|injektionssprøjte|injektionssprøjter
28105498613|Fragmin|injektionssprøjte|injektionssprøjter
28105498713|Fragmin|injektionssprøjte|injektionssprøjter
28105498813|Fragmin|injektionssprøjte|injektionssprøjter
28105498913|Fragmin|injektionssprøjte|injektionssprøjter
28105499014|Sativex|pust|pust
28105500814|Elvanse|kapsel|kapsler
28105501014|Modafinil "Orion"|tablet|tabletter
28105502914|Pancillin|tablet|tabletter
28105503114|Calcichew-D3 Forte|tyggetablet|tyggetabletter
28105503414|Penomax|tablet|tabletter
28105503614|Bufomix Easyhaler|sug|sug
28105504014|Terbutalinsulfat "2care4"|sug|sug
28105506914|Aripiprazole "Accord"|tablet|tabletter
28105507014|Aripiprazole "Accord"|tablet|tabletter
28105507114|Aripiprazole "Accord"|tablet|tabletter
28105507214|Aripiprazole "Accord"|tablet|tabletter
28105507314|Seretide|pust|pust
28105507714|Seroquel XR|tablet|tabletter
28105509214|Olanzapin "Orion"|tablet|tabletter
28105509314|Olanzapin "Orion"|tablet|tabletter
28105509414|Olanzapin "Orion"|tablet|tabletter
28105509514|Olanzapin "Orion"|tablet|tabletter
28105509614|Olanzapin "Orion"|tablet|tabletter
28105512614|Pregabalin "Accord"|kapsel|kapsler
28105512814|Pregabalin "Accord"|kapsel|kapsler
28105513014|Pregabalin "Accord"|kapsel|kapsler
28105513214|Pregabalin "Accord"|kapsel|kapsler
28105513314|Pregabalin "Accord"|kapsel|kapsler
28105513714|Pregabalin "Mylan"|kapsel|kapsler
28105513914|Pregabalin "Mylan"|kapsel|kapsler
28105514114|Pregabalin "Mylan"|kapsel|kapsler
28105514314|Pregabalin "Mylan"|kapsel|kapsler
28105514414|Pregabalin "Mylan"|kapsel|kapsler
28105515614|Pregabalin "Sandoz GmbH"|kapsel|kapsler
28105515814|Pregabalin "Sandoz GmbH"|kapsel|kapsler
28105516014|Pregabalin "Sandoz GmbH"|kapsel|kapsler
28105516214|Pregabalin "Sandoz GmbH"|kapsel|kapsler
28105516314|Pregabalin "Sandoz GmbH"|kapsel|kapsler
28105516514|Atarax|tablet|tabletter
28105519614|Picoprep|brev|breve
28105522714|Oxazepam "Alternova"|tablet|tabletter
28105525814|Prostap Depot|injektionssprøjte|injektionssprøjter
28105526114|Combivent|ampul|ampuller
28105528514|Moxifloxacin "Orion"|tablet|tabletter
28105529114|Daktacort|påsmøring|påsmøringer
28105529214|Qlaira|tablet|tabletter
28105530414|Bloxazoc|tablet|tabletter
28105534520|Daktarin|måleske|måleskeer
28105534715|Striverdi Respimat|pust|pust
28105534815|Lomir SRO|kapsel|kapsler
28105535115|Metronidazol "EuroPharma"|påsmøring|påsmøringer
28105535215|Isosorbidmononitrat "EuroPharma"|tablet|tabletter
28105545815|Detralex|tablet|tabletter
28105548115|Calcipotriol/Betamethasone "Sandoz"|påsmøring|påsmøringer
28105550115|Sirdalud MR|kapsel|kapsler
28105551615|Burinex|tablet|tabletter
28105551715|Dalacin C|applikatordosis|applikatordoser
28105551915|Famvir|tablet|tabletter
28105552315|Burinex|tablet|tabletter
28105553115|Differine|påsmøring|påsmøringer
28105553215|Daivobet|påsmøring|påsmøringer
28105553415|Florinef|tablet|tabletter
28105554215|Moxifloxacin "Double-E Pharma"|tablet|tabletter
28105554315|Tertensif kombi|tablet|tabletter
28105554815|Differine|påsmøring|påsmøringer
28105554915|Fucidin|påsmøring|påsmøringer
28105555415|Dalacin Topico|påføring|påføringer
28105556315|Dermovate|påsmøring|påsmøringer
28105558415|Entresto|tablet|tabletter
28105558515|Entresto|tablet|tabletter
28105558615|Entresto|tablet|tabletter
28105559415|Lercanidipinhydrochlorid "Copharma"|tablet|tabletter
28105561415|Vesomni|tablet|tabletter
28105561615|Rasagilin "Krka"|tablet|tabletter
28105565415|Linezolid "Krka"|tablet|tabletter
28105567915|Rasagiline "Sandoz"|tablet|tabletter
28105568015|Rasagilin "Accord"|tablet|tabletter
28105569015|Undestor Testocaps|kapsel|kapsler
28105569115|Xifaxan|tablet|tabletter
28105569315|Ketogan|rektal stikpille|rektale stikpiller
28105569515|Cilodex|dråbe|dråber
28105569715|Ultraproct|rektal stikpille|rektale stikpiller
28105570415|Zonisamide "Teva"|kapsel|kapsler
28105570515|Zonisamide "Teva"|kapsel|kapsler
28105570615|Zonisamide "Teva"|kapsel|kapsler
28105572415|Kestine|tablet|tabletter
28105573015|Citrafleet|brev|breve
28105574615|Sumatriptan "Paranova"|pust|pust
28105574915|Desmopressin "Paranova"|tablet|tabletter
28105575915|Halcion|tablet|tabletter
28105577415|Imolopesim|tablet|tabletter
28105577815|Aotal|tablet|tabletter
28105577915|Marevan|tablet|tabletter
28105578415|Ospen|tablet|tabletter
28105578515|Ospen|tablet|tabletter
28105580015|Diproderm|påsmøring|påsmøringer
28105580515|Conmet|tablet|tabletter
28105580715|Lymecyclin "2care4"|kapsel|kapsler
28105580815|Provera|tablet|tabletter
28105580915|Diclofenacnatrium "Paranova"|dråbe|dråber
28105581015|Halcion|tablet|tabletter
28105582315|Clomipraminhydrochlorid "Orifarm"|tablet|tabletter
28105582415|Clomipraminhydrochlorid "Orifarm"|tablet|tabletter
28105586015|Eldepryl|tablet|tabletter
28105586315|Flagyl|tablet|tabletter
28105587715|Elvanse|kapsel|kapsler
28105587815|Medikinet CR|kapsel|kapsler
28105588115|Oxycodonhydrochlorid "2care4"|kapsel|kapsler
28105588315|Flagyl|tablet|tabletter
28105588415|Serdolect|tablet|tabletter
28105588615|Bufomix Easyhaler|sug|sug
28105589215|Tegretol Retard|tablet|tabletter
28105590815|Medrol|tablet|tabletter
28105591015|Doloproct|påsmøring|påsmøringer
28105591115|Euthyrox|tablet|tabletter
28105593115|Singulair|brev|breve
28105593215|Risperdal|mg|mg
28105595215|Fragmin|injektionssprøjte|injektionssprøjter
28105595415|Fragmin|injektionssprøjte|injektionssprøjter
28105595615|Fragmin|injektionssprøjte|injektionssprøjter
28105595815|Fragmin|injektionssprøjte|injektionssprøjter
28105596015|Fragmin|injektionssprøjte|injektionssprøjter
28105596215|Fragmin|injektionssprøjte|injektionssprøjter
28105596415|Fragmin|injektionssprøjte|injektionssprøjter
28105596615|Fragmin|injektionssprøjte|injektionssprøjter
28105596815|Fragmin|injektionssprøjte|injektionssprøjter
28105597015|Fragmin|injektionssprøjte|injektionssprøjter
28105597215|Fragmin|injektionssprøjte|injektionssprøjter
28105597415|Fragmin|injektionssprøjte|injektionssprøjter
28105597615|Fragmin|injektionssprøjte|injektionssprøjter
28105597815|Fragmin|injektionssprøjte|injektionssprøjter
28105598115|Fragmin|injektionssprøjte|injektionssprøjter
28105598315|Fragmin|injektionssprøjte|injektionssprøjter
28105598515|Fragmin|injektionssprøjte|injektionssprøjter
28105598715|Fragmin|injektionssprøjte|injektionssprøjter
28105598815|Fragmin|injektionssprøjte|injektionssprøjter
28105599115|Fragmin|injektionssprøjte|injektionssprøjter
28105599315|Fragmin|injektionssprøjte|injektionssprøjter
28105600415|Lopid|kapsel|kapsler
28105602215|Quetiapin "2care4"|tablet|tabletter
28105602515|Trusopt Ukonserveret|dråbe|dråber
28105602615|Cipralex|dråbe|dråber
28105603015|Tavegyl|ampul|ampuller
28105603315|Duspatalin Retard|kapsel|kapsler
28105603515|Ovestin|vagitorie|vagitorier
28105603615|Tigreat|tablet|tabletter
28105607815|Crestor|tablet|tabletter
28105607915|Crinone|applikatordosis|applikatordoser
28105608015|Modafinil "Paranova"|tablet|tabletter
28105608115|Engerix-B 10 mikrogram/0,5 ml|injektionssprøjte|injektionssprøjter
28105608215|Metronidazol "Orifarm"|påsmøring|påsmøringer
28105609015|Sotalol "2care4"|tablet|tabletter
28105610015|Bricanyl Turbuhaler|sug|sug
28105610515|Selexid|tablet|tabletter
28105610715|Dermovate|påføring|påføringer
28105611115|Madopar Depot|kapsel|kapsler
28105612815|Apydan|tablet|tabletter
28105612915|Atovaquon/Proguanilhydrochlorid "Copharma"|tablet|tabletter
28105613215|Valsartan/Hydrochlorthiazid "Orifarm"|tablet|tabletter
28105613315|Ikorel|tablet|tabletter
28105613915|Sirdalud MR|kapsel|kapsler
28105615115|Trusopt Ukonserveret|dråbe|dråber
28105615215|Fexofenadinhydrochlorid "Copharma"|tablet|tabletter
28105615315|Budesonid "Copyfarm"|ampul|ampuller
28105617215|Nitrolingual|pust|pust
28105619215|Primperan|ml|ml
28105619315|Medrol|tablet|tabletter
28105619915|Burinex|tablet|tabletter
28105620171|Solu-cortef|mg|mg
28105620815|Solu-cortef|mg|mg
28105622915|Duloxetin "Hexal"|kapsel|kapsler
28105623015|Duloxetin "Hexal"|kapsel|kapsler
28105623815|Anafranil Retard|tablet|tabletter
28105625715|GlucaGen Hypokit|ml|ml
28105625815|Nimotop|ml|ml
28105626815|Calcichew-D3 Forte|tyggetablet|tyggetabletter
28105627415|Acular|dråbe|dråber
28105636415|Rhinocort Aqua|pust|pust
28105636715|Budesonid "EuroPharma"|sug|sug
28105636815|Carbomix|flaske|flasker
28105639915|Tibocina|tablet|tabletter
28105640015|Budesonid "Copyfarm"|ampul|ampuller
