DrugId|Drugname|ShortTranslation
28100338960|Ercoril|2 tabletter før sengetid|S
28100338960|Ercoril|2 tabletter 3 gange daglig|S
28100368661|Saroten|3 tabletter før sengetid|S
28100368661|Saroten|2 tabletter før sengetid|S
28100368661|Saroten|1 tablet 2 gange daglig|S
28100368661|Saroten|1 tablet 3 gange daglig|S
28100385861|Proctosedyl|1 påsmøring 2 gange daglig|S
28100385861|Proctosedyl|1 påsmøring 3 gange daglig|S
28100389161|Vanquin|8 tabletter 1 gang daglig dag 1 og 15|S
28100396662|Tetralysal|1 kapsel daglig til et måltid|S
28100396662|Tetralysal|1 kapsel 2 gange daglig til et måltid|S
28100396662|Tetralysal|2 kapsler 2 gange daglig|S
28100396662|Tetralysal|1 kapsel daglig|S
28100396662|Tetralysal|1 kapsel 2 gange daglig|S
28100396662|Tetralysal|2 kapsler 2 gange daglig til et måltid|S
28100399462|Fucidin|2 tabletter 2 gange daglig|S
28100399462|Fucidin|2 tabletter 3 gange daglig|S
28100399462|Fucidin|1 tablet 3 gange daglig|S
28100399462|Fucidin|1 tablet 2 gange daglig|S
28100400362|Zarondan|7,5 ml 2 gange daglig|S
28100400362|Zarondan|5 ml 2 gange daglig|S
28100400362|Zarondan|10 ml 2 gange daglig|S
28100405762|Sofradex|4 dråber 3 gange daglig i det inficerede øre|S
28100405762|Sofradex|1 dråbe 4 gange daglig i højre øje|S
28100405762|Sofradex|1 dråbe 6 gange daglig i højre øje|S
28100405762|Sofradex|2 dråber 3 gange daglig i øret|S
28100405762|Sofradex|1 dråbe 3 gange daglig i begge øjne|S
28100405762|Sofradex|1 dråbe 4 gange daglig i begge øjne|S
28100405762|Sofradex|3 dråber 3 gange daglig i det inficerede øre|S
28100405762|Sofradex|1 dråbe 6 gange daglig i begge øjne|S
28100405762|Sofradex|1 dråbe 3 gange daglig i højre øje|S
28100405762|Sofradex|3 dråber 4 gange daglig i det inficerede øre|S
28100405762|Sofradex|1 dråbe 3 gange daglig i venstre øje|S
28100405762|Sofradex|1 dråbe 6 gange daglig i venstre øje|S
28100405762|Sofradex|2 dråber 3 gange daglig i øret|S
28100405762|Sofradex|1 dråbe 4 gange daglig i venstre øje|S
28100405762|Sofradex|4 dråber 4 gange daglig i det inficerede øre|S
28100417072|Fucidin|7,5 ml 3 gange daglig|S
28100417072|Fucidin|2,5 ml 3 gange daglig|S
28100417072|Fucidin|10 ml 2 gange daglig|S
28100417072|Fucidin|2,5 ml 2 gange daglig|S
28100417072|Fucidin|5 ml 2 gange daglig|S
28100417072|Fucidin|5 ml 3 gange daglig|S
28100420262|Florinef|1 1/2 tabletter 1 gang daglig|S
28100420262|Florinef|1/2 tablet daglig|S
28100420262|Florinef|1 tablet daglig|S
28100420262|Florinef|2 tabletter 1 gang daglig|S
28100427563|Hydrocortison m.Terram.+Polym.|2 dråber 3 gange daglig i øret|S
28100427563|Hydrocortison m.Terram.+Polym.|3 dråber 3 gange daglig i det inficerede øre|S
28100427563|Hydrocortison m.Terram.+Polym.|1 dråbe 4 gange daglig i begge øjne|S
28100427563|Hydrocortison m.Terram.+Polym.|1 dråbe 4 gange daglig i venstre øje|S
28100427563|Hydrocortison m.Terram.+Polym.|4 dråber 3 gange daglig i det inficerede øre|S
28100427563|Hydrocortison m.Terram.+Polym.|1 dråbe 4 gange daglig i højre øje|S
28100427563|Hydrocortison m.Terram.+Polym.|1 dråbe 6 gange daglig i begge øjne|S
28100427563|Hydrocortison m.Terram.+Polym.|1 dråbe 6 gange daglig i venstre øje|S
28100427563|Hydrocortison m.Terram.+Polym.|1 dråbe 3 gange daglig i begge øjne|S
28100427563|Hydrocortison m.Terram.+Polym.|1 dråbe 6 gange daglig i højre øje|S
28100427563|Hydrocortison m.Terram.+Polym.|1 dråbe 3 gange daglig i højre øje|S
28100427563|Hydrocortison m.Terram.+Polym.|1 dråbe 3 gange daglig i venstre øje|S
28100430763|Serenase|2 tabletter 3 gange daglig|S
28100430763|Serenase|1 tablet 3 gange daglig|S
28100435763|Provera|2 tabletter daglig i 10 dage, herefter 18 dages pause|S
28100435763|Provera|2 tabletter daglig i 10 dage, herefter 18 dages pause|S
28100435763|Provera|1 tablet daglig i 10 dage, herefter 18 dages pause|S
28100439163|Noritren|2 tabletter 1 gang daglig|S
28100439163|Noritren|1 tablet daglig|S
28100439163|Noritren|3 tabletter 1 gang daglig|S
28100444263|Noritren|3 tabletter 2 gange daglig|S
28100444263|Noritren|1 tablet 2 gange daglig|S
28100444263|Noritren|2 tabletter 2 gange daglig|S
28100445563|Lysantin|1 tablet 2 gange daglig|S
28100445563|Lysantin|2 tabletter 2 gange daglig|S
28100454364|Tegretol|1 tablet 3 gange daglig|S
28100454364|Tegretol|2 tabletter 2 gange daglig|S
28100454364|Tegretol|1 tablet 2 gange daglig|S
28100454364|Tegretol|3 tabletter 3 gange daglig|S
28100454364|Tegretol|2 tabletter 3 gange daglig|S
28100457064|Betnovat|1 påsmøring daglig|S
28100457064|Betnovat|1 påsmøring 2 gange daglig|S
28100474065|Buronil|2 tabletter 3 gange daglig|S
28100474065|Buronil|1 tablet 3 gange daglig|S
28100474065|Buronil|3 tabletter 3 gange daglig|S
28100474265|Fucidin|1 påsmøring 2 gange daglig|S
28100474265|Fucidin|1 påsmøring 3 gange daglig|S
28100478565|Stesolid|1 tablet 3 gange daglig|S
28100480965|Neulactil|1 tablet daglig|S
28100480965|Neulactil|1 tablet 3 gange daglig|S
28100480965|Neulactil|1 tablet 2 gange daglig|S
28100486965|Egazil|3 tabletter 2 gange daglig|S
28100486965|Egazil|2 tabletter 2 gange daglig|S
28100487965|Maxidex|1 dråbe 4 gange daglig i venstre øje|S
28100487965|Maxidex|1 dråbe 3 gange daglig i højre øje|S
28100487965|Maxidex|1 dråbe 6 gange daglig i højre øje|S
28100487965|Maxidex|1 dråbe 3 gange daglig i begge øjne|S
28100487965|Maxidex|1 dråbe 6 gange daglig i begge øjne|S
28100487965|Maxidex|1 dråbe 4 gange daglig i højre øje|S
28100487965|Maxidex|1 dråbe 6 gange daglig i venstre øje|S
28100487965|Maxidex|1 dråbe 4 gange daglig i begge øjne|S
28100487965|Maxidex|1 dråbe 3 gange daglig i venstre øje|S
28100489065|Lacril|1 dråbe efter behov|S
28100489065|Lacril|1 dråbe 4 gange daglig i begge øjne|S
28100493671|Kaleorid|1 tablet daglig|N
28100493671|Kaleorid|1 tablet morgen og aften|N
28100493671|Kaleorid|1 tablet morgen, middag og aften|N
28100493671|Kaleorid|2 tabletter 1 gang daglig|N
28100493671|Kaleorid|2 tabletter morgen og aften|N
28100493671|Kaleorid|2 tabletter morgen, middag og aften|N
28100515267|Betnovat|1 påføring morgen og aften|S
28100520967|Imurel|1 tablet 4 gange daglig|S
28100520967|Imurel|1 tablet 3 gange daglig|S
28100520967|Imurel|1 tablet 2 gange daglig|S
28100520967|Imurel|2 tabletter 3 gange daglig|S
28100521967|Pacisyn|1 tablet før sengetid|S
28100521967|Pacisyn|1/2 tablet før sengetid|S
28100526567|Tavegyl|1 tablet 2 gange daglig|S
28100526567|Tavegyl|1/2 tablet 2 gange daglig|S
28100528167|Nozinan|1 tablet 3 gange daglig|S
28100528167|Nozinan|1 tablet 2 gange daglig|S
28100529867|Cardopax|2 tabletter 3 gange daglig|S
28100529867|Cardopax|3 tabletter 3 gange daglig|S
28100529867|Cardopax|1 tablet 3 gange daglig|S
28100533567|Metronidazol "Actavis"|3 tabletter 3 gange daglig|S
28100533567|Metronidazol "Actavis"|1 tablet 2 gange daglig|S
28100533567|Metronidazol "Actavis"|2 tabletter 2 gange daglig|S
28100533567|Metronidazol "Actavis"|2 tabletter 3 gange daglig|S
28100533567|Metronidazol "Actavis"|1 tablet 3 gange daglig|S
28100535568|Rimactan|3 kapsler 1 gang daglig, 30-60 min før et måltid|S
28100535568|Rimactan|2 kapsler 2 gange daglig i 2 dage|S
28100535568|Rimactan|1 kapsel 2 gange daglig i 2 dage|S
28100535568|Rimactan|2 kapsler 1 gang daglig|S
28100535568|Rimactan|3 kapsler 1 gang daglig|S
28100535568|Rimactan|1 kapsel daglig|S
28100535568|Rimactan|2 kapsler 1 gang daglig|S
28100538768|Confortid|1 rektal stikpille daglig|S
28100539968|Sinquan|2 kapsler 1 gang daglig|S
28100539968|Sinquan|1 kapsel 3 gange daglig|S
28100539968|Sinquan|1 kapsel daglig|S
28100539968|Sinquan|1 kapsel 2 gange daglig|S
28100539968|Sinquan|2 kapsler 3 gange daglig|S
28100539968|Sinquan|3 kapsler 1 gang daglig|S
28100539968|Sinquan|2 kapsler 2 gange daglig|S
28100540268|Locacorten-Vioform|3 dråber 2 gange daglig i det inficerede øre|S
28100542968|Primperan|2 ml 1 gang daglig|S
28100542968|Primperan|2 ml 2 gange daglig|S
28100542968|Primperan|2 ml 3 gange daglig|S
28100552969|Tetralysal|1 kapsel 2 gange daglig|S
28100552969|Tetralysal|1 kapsel daglig til et måltid|S
28100552969|Tetralysal|1 kapsel daglig|S
28100552969|Tetralysal|1 kapsel 2 gange daglig til et måltid|S
28100559669|Ventoline|1 pust daglig ved anfald|N
28100559669|Ventoline|2 pust 1 gang daglig ved anfald|N
28100559669|Ventoline|2 pust 1 gang daglig 10-15 minutter før anstrengelse|N
28100559669|Ventoline|1 pust 4 gange daglig|N
28100559669|Ventoline|2 pust 4 gange daglig|N
28100560369|Dipiperon|2 tabletter 3 gange daglig|S
28100560369|Dipiperon|1 tablet 3 gange daglig|S
28100560369|Dipiperon|1 tablet 2 gange daglig|S
28100560369|Dipiperon|2 tabletter 2 gange daglig|S
28100560469|Ferro Duretter|1 tablet daglig|S
28100560469|Ferro Duretter|1 tablet 2 gange daglig|S
28100565269|Synalar|1 påsmøring efter behov|S
28100565269|Synalar|1 påsmøring daglig|S
28100565269|Synalar|1 påsmøring 3 gange daglig|S
28100565269|Synalar|1 påsmøring 2 gange daglig|S
28100565569|Flagyl|1 vagitorie daglig i skeden|S
28100570370|Sandomigrin|1 tablet 3 gange daglig|S
28100570370|Sandomigrin|2 tabletter 3 gange daglig|S
28100570370|Sandomigrin|1 tablet daglig|S
28100570370|Sandomigrin|1 tablet 2 gange daglig|S
28100570370|Sandomigrin|3 tabletter 1 gang daglig|S
28100570370|Sandomigrin|2 tabletter 2 gange daglig|S
28100570370|Sandomigrin|2 tabletter 1 gang daglig|S
28100571270|Stesolid|1 rektal stikpille 2 gange daglig|S
28100571270|Stesolid|1 rektal stikpille daglig|S
28100571270|Stesolid|1 rektal stikpille 3 gange daglig|S
28100571670|Toilax|2 tabletter aften|S
28100571670|Toilax|1 tablet aften|S
28100571670|Toilax|1 tablet daglig|S
28100571670|Toilax|2 tabletter 1 gang daglig|S
28100573870|Rimactan|1 kapsel daglig|S
28100573870|Rimactan|1 kapsel 2 gange daglig i 2 dage|S
28100573870|Rimactan|2 kapsler 1 gang daglig|S
28100573870|Rimactan|2 kapsler 2 gange daglig i 2 dage|S
28100573870|Rimactan|2 kapsler 1 gang daglig|S
28100575570|Orap|2 tabletter 1 gang daglig|S
28100575570|Orap|4 tabletter 1 gang|S
28100575570|Orap|2 tabletter 1 gang daglig|S
28100575570|Orap|1 tablet daglig|S
28100575570|Orap|3 tabletter 1 gang daglig|S
28100575670|Orap|1 tablet 2 gange daglig|S
28100575670|Orap|1 tablet daglig|S
28100579370|Temesta|1 tablet 3 gange daglig|S
28100579370|Temesta|1 tablet daglig|S
28100579370|Temesta|1 tablet 2 gange daglig|S
28100582070|Hirudoid|1 påsmøring 2 gange daglig|S
28100582070|Hirudoid|1 påsmøring 3 gange daglig|S
28100583070|Apozepam|1 tablet 3 gange daglig|S
28100583070|Apozepam|2 tabletter 3 gange daglig|S
28100583670|Haiprex|1 tablet 2 gange daglig|S
28100583770|Brentan|1 påsmøring 2 gange daglig|S
28100583870|Brentan|1 applikatordosis daglig|S
28100590071|Dalacin|1 kapsel 3 gange daglig|S
28100590071|Dalacin|2 kapsler 4 gange daglig|S
28100590071|Dalacin|2 kapsler 3 gange daglig|S
28100590071|Dalacin|1 kapsel 4 gange daglig|S
28100592071|Keflex|1/2 tablet 4 gange daglig|S
28100592071|Keflex|1/2 tablet 3 gange daglig|S
28100592071|Keflex|1 tablet 3 gange daglig|S
28100592071|Keflex|1 tablet 4 gange daglig|S
28100594371|Burinex|2 tabletter 3 gange daglig|S
28100594371|Burinex|1 tablet 3 gange daglig|S
28100594371|Burinex|1/2 tablet daglig|S
28100594371|Burinex|2 tabletter 2 gange daglig|S
28100594371|Burinex|1 tablet daglig|S
28100594371|Burinex|1 tablet 2 gange daglig|S
28100597671|Provera|3 tabletter 3 gange daglig|S
28100599271|Mydriacyl|1 dråbe 1 gang 30 min før undersøgelse|S
28100599471|Locoid|1 påføring daglig|S
28100599471|Locoid|1 påføring 2 gange daglig|S
28100599571|Locoid|1 påsmøring daglig|S
28100599571|Locoid|1 påsmøring 2 gange daglig|S
28100599671|Locoid|1 påsmøring daglig|N
28100599671|Locoid|1 påsmøring 2 gange daglig|N
28100599871|Litarex|1 tablet daglig|S
28100599871|Litarex|2 tabletter 1 gang daglig|S
28100599871|Litarex|2 tabletter 2 gange daglig|S
28100600471|Saroten Retard|2 kapsler før sengetid|S
28100600471|Saroten Retard|1 kapsel før sengetid|S
28100600471|Saroten Retard|3 kapsler før sengetid|S
28100602871|Urispadol|1 tablet 4 gange daglig|S
28100602971|Bricanyl|7,5 ml 3 gange daglig|S
28100602971|Bricanyl|2 ml 2 gange daglig|S
28100602971|Bricanyl|5 ml 3 gange daglig|S
28100602971|Bricanyl|5 ml 2 gange daglig|S
28100604472|Metosyn|1 påsmøring efter behov|S
28100604472|Metosyn|1 påsmøring daglig|S
28100604472|Metosyn|1 påsmøring 2 gange daglig|S
28100604472|Metosyn|1 påsmøring 3 gange daglig|S
28100607472|Lioresal|1 tablet 3 gange daglig|S
28100607472|Lioresal|1/2 tablet 3 gange daglig|S
28100607472|Lioresal|2 tabletter 3 gange daglig|S
28100608472|Canesten|1 påsmøring 2 gange daglig|S
28100608672|Canesten|1 vaginaltablet daglig i skeden|S
28100608672|Canesten|2 vaginaltabletter 1 gang daglig i skeden|S
28100609972|Betaserc|1 tablet 3 gange daglig|S
28100609972|Betaserc|2 tabletter 3 gange daglig|S
28100611372|Androcur|1/2 tablet 2 gange daglig|S
28100611372|Androcur|2 tabletter 3 gange daglig|S
28100611372|Androcur|1 tablet 3 gange daglig|S
28100611372|Androcur|1 tablet 2 gange daglig|S
28100611372|Androcur|2 tabletter 2 gange daglig|S
28100611372|Androcur|1/2 tablet 3 gange daglig|S
28100612972|Mindiab|1 tablet daglig|S
28100612972|Mindiab|2 tabletter 1 gang daglig|S
28100612972|Mindiab|1/2 tablet daglig|S
28100612972|Mindiab|1 1/2 tabletter 1 gang daglig|S
28100612972|Mindiab|3 tabletter 1 gang daglig|S
28100615172|Diproderm|1 påsmøring morgen|S
28100615172|Diproderm|1 påsmøring morgen og aften|S
28100615372|Ventoline|5 ml 4 gange daglig|S
28100615372|Ventoline|2,5 ml 3 gange daglig|S
28100615372|Ventoline|10 ml 2 gange daglig|S
28100615372|Ventoline|5 ml 3 gange daglig|S
28100615872|Catapresan|3 tabletter 2 gange daglig|S
28100615872|Catapresan|2 tabletter 2 gange daglig|S
28100615872|Catapresan|1 tablet 2 gange daglig|S
28100616672|Serenase|2 tabletter 3 gange daglig|S
28100616672|Serenase|1 tablet 3 gange daglig|S
28100620972|Abboticin|1 tablet 2 gange daglig|S
28100620972|Abboticin|2 tabletter 2 gange daglig|S
28100620972|Abboticin|1 tablet 4 gange daglig|S
28100620972|Abboticin|1 tablet 3 gange daglig|S
28100622372|Heracillin|1 tablet 3 gange daglig|S
28100622372|Heracillin|1/2 tablet 3 gange daglig|S
28100622372|Heracillin|2 tabletter 3 gange daglig|S
28100622372|Heracillin|3 tabletter 3 gange daglig|S
28100627873|Abboticin|5 ml 2 gange daglig|S
28100627873|Abboticin|7,5 ml 4 gange daglig|S
28100627873|Abboticin|5 ml 4 gange daglig|S
28100627873|Abboticin|7,5 ml 2 gange daglig|S
28100627873|Abboticin|10 ml 2 gange daglig|S
28100631373|Flagyl|5 tabletter 1 gang daglig dag 1 og 3|S
28100631373|Flagyl|5 tabletter 1 gang|S
28100631373|Flagyl|1/2 tablet 3 gange daglig|S
28100631373|Flagyl|2 tabletter 3 gange daglig|S
28100631373|Flagyl|1 tablet 3 gange daglig|S
28100631373|Flagyl|1 tablet 2 gange daglig|S
28100631773|Nitoman|2 tabletter 3 gange daglig|S
28100631773|Nitoman|1 tablet 3 gange daglig|S
28100631773|Nitoman|1/2 tablet 3 gange daglig|S
28100632573|Dermovat|1 påsmøring daglig|S
28100632573|Dermovat|1 påsmøring 2 gange daglig|S
28100632673|Dermovat|1 påsmøring daglig|S
28100632673|Dermovat|1 påsmøring 2 gange daglig|S
28100636073|Panodil|2 tabletter 3 gange daglig|N
28100636073|Panodil|2 tabletter 4 gange daglig|N
28100636073|Panodil|1 tablet 3 gange daglig|N
28100636073|Panodil|1 tablet 4 gange daglig|N
28100636673|Madopar "125"|1 kapsel 3 gange daglig|S
28100636673|Madopar "125"|2 kapsler 3 gange daglig|S
28100636673|Madopar "125"|1 kapsel 2 gange daglig|S
28100636673|Madopar "125"|2 kapsler 3 gange daglig|S
28100636673|Madopar "125"|1 kapsel 2 gange daglig|S
28100636673|Madopar "125"|1 kapsel 4 gange daglig|S
28100636673|Madopar "125"|1 kapsel 3 gange daglig|S
28100636773|Madopar "250"|1 kapsel daglig|S
28100636773|Madopar "250"|1 kapsel 3 gange daglig|S
28100636773|Madopar "250"|1 kapsel 2 gange daglig|S
28100636773|Madopar "250"|1 kapsel 4 gange daglig|S
28100636773|Madopar "250"|1 kapsel 3 gange daglig|S
28100636773|Madopar "250"|1 kapsel daglig|S
28100636773|Madopar "250"|1 kapsel 4 gange daglig|S
28100636773|Madopar "250"|1 kapsel 2 gange daglig|S
28100643374|Leponex|1 1/2 tabletter 3 gange daglig|S
28100643374|Leponex|1/2 tablet 2 gange daglig|S
28100643374|Leponex|2 tabletter 2 gange daglig|S
28100643374|Leponex|1 1/2 tabletter 2 gange daglig|S
28100643374|Leponex|1 tablet daglig|S
28100643374|Leponex|1 tablet 3 gange daglig|S
28100643374|Leponex|1 tablet 2 gange daglig|S
28100643574|Leponex|1/2 tablet 2 gange daglig|S
28100643574|Leponex|1 1/2 tabletter 3 gange daglig|S
28100643574|Leponex|1 1/2 tabletter 2 gange daglig|S
28100643574|Leponex|1 tablet 3 gange daglig|S
28100643574|Leponex|1 tablet 2 gange daglig|S
28100645874|Rivotril|2 tabletter 3 gange daglig|S
28100645874|Rivotril|3 tabletter 3 gange daglig|S
28100645974|Rivotril|1 tablet 3 gange daglig|S
28100646174|Rivotril|8 dråber 3 gange daglig|S
28100646174|Rivotril|10 dråber 3 gange daglig|S
28100646174|Rivotril|5 dråber 3 gange daglig|S
28100646174|Rivotril|15 dråber 3 gange daglig|S
28100649974|Flamazine|1 påsmøring 2 gange daglig|S
28100649974|Flamazine|1 påsmøring daglig|S
28100651774|Lexotan|1 tablet 3 gange daglig|S
28100651774|Lexotan|1/2 tablet 2 gange daglig|S
28100651774|Lexotan|1/2 tablet daglig|S
28100651774|Lexotan|1 tablet 2 gange daglig|S
28100651774|Lexotan|1 tablet daglig|S
28100651874|Lexotan|1 tablet 3 gange daglig|S
28100651874|Lexotan|1/2 tablet daglig|S
28100651874|Lexotan|1 tablet daglig|S
28100651874|Lexotan|1 tablet 2 gange daglig|S
28100651874|Lexotan|1/2 tablet 2 gange daglig|S
28100656474|Diural|1 tablet daglig|N
28100656474|Diural|1 tablet 2 gange daglig|N
28100656474|Diural|1 tablet 3 gange daglig|N
28100656474|Diural|2 tabletter 1 gang daglig|N
28100656474|Diural|2 tabletter 2 gange daglig|N
28100656474|Diural|3 tabletter 1 gang daglig|N
28100656474|Diural|4 tabletter 1 gang daglig|N
28100656774|Gaviscon|3 tyggetabletter efter behov 30 min efter måltid|S
28100656774|Gaviscon|1 tyggetablet før sengetid|S
28100656774|Gaviscon|2 tyggetabletter efter behov|S
28100657174|Cyclogyl|1 dråbe 1 gang før undersøgelse|S
28100657975|Ventoline|2 tabletter 3 gange daglig|S
28100657975|Ventoline|1 tablet 3 gange daglig|S
28100657975|Ventoline|1 tablet 2 gange daglig|S
28100657975|Ventoline|2 tabletter 2 gange daglig|S
28100665575|Nitrolingual|1 pust efter behov på/under tungen ved smerter|S
28100665775|Treo|1 brusetablet daglig|S
28100665775|Treo|1 brusetablet 2 gange daglig|S
28100665775|Treo|1 brusetablet 3 gange daglig|S
28100665775|Treo|1 brusetablet 4 gange daglig|S
28100665775|Treo|2 brusetabletter 1 gang daglig|S
28100665775|Treo|2 brusetabletter 2 gange daglig|S
28100665775|Treo|2 brusetabletter 3 gange daglig|S
